WKT,fid
"SRID=3857;POLYGON ((-170658.27851439873 745297.6027416232, -170682.73539308604 745284.9825380662, -170684.47203720387 745288.333713118, -170688.46841101747 745286.2714205085, -170691.98604889444 745293.0859572826, -170687.71146363998 745295.2939008395, -170690.09363039478 745299.889205711, -170665.90395082976 745312.3749503552, -170658.27851439873 745297.6027416232))",9922
"SRID=3857;POLYGON ((-170782.3329893752 745291.7185543427, -170789.4574649962 745286.8990791562, -170792.5075794977 745291.4046745924, -170798.42980924554 745287.4034639164, -170808.53762461705 745302.3661749817, -170792.11794331635 745313.4733283143, -170782.24388963258 745298.8580591792, -170785.61686557074 745296.5827835238, -170782.3329893752 745291.7185543427))",9923
"SRID=3857;POLYGON ((-170697.68562939123 745370.4886192404, -170705.81192652052 745365.5458630593, -170710.0420620218 745372.4948721773, -170701.90465245585 745377.4488173971, -170697.68562939123 745370.4886192404))",9924
"SRID=3857;POLYGON ((-170726.9070418182 745378.8834537283, -170731.5824758152 745375.8573417797, -170741.24499269098 745390.7752225465, -170736.569558694 745393.8014361084, -170726.9070418182 745378.8834537283))",9925
"SRID=3857;POLYGON ((-170742.25792663594 745362.2619145213, -170747.04468526162 745359.3702659551, -170752.9558025664 745369.1885464079, -170748.16904394072 745372.0801954917, -170742.25792663594 745362.2619145213))",9926
"SRID=3857;POLYGON ((-170750.62919800778 745394.7540639471, -170762.09513375245 745386.3817046473, -170767.68338962056 745394.0256075516, -170756.2174538759 745402.3979680187, -170750.62919800778 745394.7540639471))",9927
"SRID=3857;POLYGON ((-170768.6184363778 745399.2372914191, -170774.70755294414 745396.2223667634, -170778.2030660595 745403.3058423423, -170772.11384938133 745406.3095789691, -170768.6184363778 745399.2372914191))",9928
"SRID=3857;POLYGON ((-170863.4180614927 745391.2907966776, -170848.21183862007 745371.0939020364, -170855.51441361447 745365.5907174828, -170866.05641504494 745379.5671562776, -170872.323630991 745374.848570643, -170877.01017742473 745381.0578355136, -170863.4180614927 745391.2907966776))",9929
"SRID=3857;POLYGON ((-169959.57063351868 745640.9731815349, -169977.59320921145 745636.4563689022, -169980.65453626783 745648.7180177195, -169962.64307301174 745653.2348313625, -169959.57063351868 745640.9731815349))",9930
"SRID=3857;POLYGON ((-169949.03984464303 745582.9264574077, -169962.98815932815 745579.3959467503, -169968.5095403334 745601.2629210255, -169954.572338085 745604.7934330913, -169949.03984464303 745582.9264574077))",9931
"SRID=3857;POLYGON ((-169967.41861908257 745578.633720954, -169974.58764457487 745576.6723150688, -169980.22035020884 745597.340107706, -169973.0403123853 745599.2903258731, -169967.41861908257 745578.633720954))",9932
"SRID=3857;POLYGON ((-169938.2751939615 745564.2089879272, -169937.9968824025 745562.9199981542, -169932.24173970317 745564.1192787555, -169929.36962446323 745550.3781534317, -169943.89688726424 745547.3407427792, -169946.62414033548 745560.3421194955, -169943.46270120528 745561.0034474148, -169943.88567471574 745563.0432726686, -169938.2751939615 745564.2089879272))",9933
"SRID=3857;POLYGON ((-169945.9674051436 745554.6596992239, -169957.0325922639 745552.406789842, -169961.42971470187 745573.9711612306, -169950.3645275816 745576.2352599456, -169945.9674051436 745554.6596992239))",9934
"SRID=3857;POLYGON ((-169972.81766314062 745545.2897296695, -169987.80123676857 745542.1065671489, -169992.73265733305 745565.2513278945, -169977.7490837051 745568.4343909624, -169972.81766314062 745545.2897296695))",9935
"SRID=3857;POLYGON ((-169964.56882883416 745567.6834545726, -169969.6227865758 745566.8652867026, -169970.88069476336 745574.7109092603, -169965.7711748255 745575.6187864378, -169964.56882883416 745567.6834545726))",9936
"SRID=3857;POLYGON ((-169945.7447558926 745549.4702766722, -169954.21613933193 745546.9709193427, -169955.25139827476 745550.5126163593, -169946.78001483544 745553.0008861985, -169945.7447558926 745549.4702766722))",9937
"SRID=3857;POLYGON ((-169929.5700488345 745689.9638549371, -169941.58139514865 745682.1517812985, -169948.00448558838 745692.0373512044, -169935.9931392742 745699.8382377805, -169929.5700488345 745689.9638549371))",9938
"SRID=3857;POLYGON ((-169906.46007796546 745697.7871181672, -169926.09686071068 745690.143172896, -169929.21385008137 745698.1345656655, -169909.56595489944 745705.7785120448, -169906.46007796546 745697.7871181672))",9939
"SRID=3857;POLYGON ((-169910.46756422208 745717.3677588728, -169907.17257558345 745707.7511110301, -169917.01319183898 745704.3775333855, -169917.53637752874 745709.6452899408, -169920.99845320953 745709.3090308433, -169921.2433273403 745711.8308733277, -169917.53637752874 745714.9467132431, -169910.46756422208 745717.3677588728))",9940
"SRID=3857;POLYGON ((-169914.45282559263 745681.4680749686, -169929.64793602226 745678.1729190362, -169931.1396059038 745685.0547361579, -169915.94449546788 745688.3498925103, -169914.45282559263 745681.4680749686))",9941
"SRID=3857;POLYGON ((-169916.82398002254 745671.4817099457, -169916.56789334328 745668.1640768799, -169912.91660583977 745669.7892271843, -169911.7700222809 745660.8563945452, -169926.09686071068 745659.0182604478, -169927.34365646148 745668.7917399002, -169921.85561277266 745669.4978230033, -169921.4325391567 745671.1229733474, -169916.82398002254 745671.4817099457))",9942
"SRID=3857;POLYGON ((-169887.80299196055 745697.1594548146, -169900.54906077246 745693.5280389381, -169904.01103634777 745705.6664256887, -169891.26496753586 745709.3090308433, -169887.80299196055 745697.1594548146))",9943
"SRID=3857;POLYGON ((-169868.11054690732 745717.1771515461, -169867.70979828291 745715.3166386033, -169862.6670530898 745716.4038361612, -169859.9173749152 745703.7050152574, -169883.47264427994 745698.61657726, -169885.86602358962 745709.6452899408, -169873.73214009823 745712.2680303354, -169874.5003000306 745715.7985495521, -169868.11054690732 745717.1771515461))",9944
"SRID=3857;POLYGON ((-169869.3462302151 745677.6461537394, -169879.36494584402 745676.0433801425, -169879.59870753172 745677.5116905, -169883.11644552686 745676.9512589985, -169883.81773059 745681.3559886622, -169882.32606071475 745682.4096201289, -169884.75277734722 745697.6078001768, -169872.84164321868 745699.513167215, -169869.3462302151 745677.6461537394))",9945
"SRID=3857;POLYGON ((-169833.7350646649 745724.4176097139, -169831.20813585314 745710.0599691801, -169857.35710878068 745705.4647307202, -169859.73927554183 745719.0601423068, -169854.68541791197 745719.9455441204, -169854.15111977918 745716.9417903061, -169839.6906317292 745719.4748216175, -169840.3585794759 745723.2519918445, -169833.7350646649 745724.4176097139))",9946
"SRID=3857;POLYGON ((-169848.77430060718 745692.0933943718, -169854.01747016527 745691.0734289386, -169855.99898840752 745701.2952595003, -169845.57942404243 745703.3127130176, -169844.31040341817 745696.8008188448, -169848.3735519828 745694.794554038, -169848.77430060718 745692.0933943718))",9947
"SRID=3857;POLYGON ((-169826.97800035184 745679.8877790048, -169837.78710079283 745678.2738168684, -169839.412420282 745689.1456852417, -169832.16550759558 745690.2216938043, -169831.90942091632 745688.5516882064, -169828.12458391703 745687.5540997841, -169826.97800035184 745679.8877790048))",9948
"SRID=3857;POLYGON ((-169886.32243452835 745641.8698713437, -169885.65448678166 745639.056628066, -169881.86964977602 745639.9533178498, -169879.0977467217 745628.3192327475, -169899.81433827474 745623.3877425775, -169902.66412852312 745635.3803613953, -169894.21496996356 745637.3978124926, -169894.80493040438 745639.852420088, -169886.32243452835 745641.8698713437))",9949
"SRID=3857;POLYGON ((-169874.55596234492 745597.0150377485, -169893.85877121045 745592.5094171948, -169898.84585408928 745613.8720089331, -169879.55415766046 745618.3776312427, -169874.55596234492 745597.0150377485))",9950
"SRID=3857;POLYGON ((-169911.03529978314 745614.9703929331, -169908.1298472204 745601.9690032585, -169898.9015164036 745604.0313077447, -169896.18527565728 745591.8817550478, -169910.879525395 745588.5977929572, -169916.50111858593 745613.7487343043, -169911.03529978314 745614.9703929331))",9951
"SRID=3857;POLYGON ((-169867.27561222395 745568.4007248245, -169884.75277734722 745562.8527666752, -169892.22233927826 745586.3897367843, -169874.74517416136 745591.9377981126, -169867.27561222395 745568.4007248245))",9952
"SRID=3857;POLYGON ((-169891.84381553362 745563.4692400392, -169907.3172375286 745559.5799947669, -169912.09288371122 745578.5553010085, -169896.6305741593 745582.4445476271, -169891.84381553362 745563.4692400392))",9953
"SRID=3857;POLYGON ((-169849.2195991029 745653.9073488713, -169865.65039284664 745650.3880221036, -169867.39804928933 745658.5587269315, -169850.96735565743 745662.0780542238, -169849.2195991029 745653.9073488713))",9954
"SRID=3857;POLYGON ((-169847.16019366658 745633.6879805453, -169854.27355684456 745631.2221847619, -169858.19194335226 745650.4103990333, -169842.91894572225 745653.9633919932, -169838.4439360965 745635.9407924718, -169847.16019366658 745633.6879805453))",9955
"SRID=3857;POLYGON ((-169836.86316647867 745634.0914707453, -169830.94093673085 745606.1384669284, -169843.82065515668 745603.3027477713, -169844.7222644793 745607.393690753, -169841.7389247288 745608.0438307866, -169845.9246104706 745627.0751969009, -169849.10827448056 745626.3803028074, -169850.1991957314 745631.3678363519, -169836.86316647867 745634.0914707453))",9956
"SRID=3857;POLYGON ((-169815.5566144785 745611.1372878812, -169830.4734133554 745606.4634361371, -169835.83901997886 745631.8834127396, -169821.62350617143 745635.4252160396, -169815.5566144785 745611.1372878812))",9957
"SRID=3857;POLYGON ((-169822.46955329154 745638.3168791679, -169830.97437416544 745636.6580636106, -169832.24339478966 745643.1475737164, -169823.73857391573 745644.8175779309, -169822.65876510795 745639.3256551595, -169822.46955329154 745638.3168791679))",9958
"SRID=3857;POLYGON ((-169815.25607803973 745650.7803239644, -169815.3674026621 745639.348032085, -169821.34519460608 745639.4489298459, -169822.40277854048 745651.6433477381, -169815.25607803973 745650.7803239644))",9959
"SRID=3857;POLYGON ((-169811.1149421692 745640.0429263491, -169813.63075854426 745639.4713067713, -169814.25415641966 745652.3718075574, -169808.45446384902 745652.6072693169, -169808.83288748187 745648.1015433964, -169810.62519391402 745647.4851698707, -169811.1149421692 745640.0429263491))",9960
"SRID=3857;POLYGON ((-169809.71237203656 745657.068040149, -169815.40073998485 745656.832679167, -169815.81260104594 745667.009648672, -169810.13534554702 745667.2450097041, -169809.71237203656 745657.068040149))",9961
"SRID=3857;POLYGON ((-169820.67734697118 745659.7580096254, -169840.97086490827 745655.7454827972, -169842.56274696914 745663.8152906181, -169822.26912892025 745667.8278180369, -169820.67734697118 745659.7580096254))",9962
"SRID=3857;POLYGON ((-169847.3939553543 745602.3949709318, -169853.81714590584 745601.1844002447, -169854.80785497103 745606.4746245899, -169848.38476453134 745607.6851954, -169847.3939553543 745602.3949709318))",9963
"SRID=3857;POLYGON ((-169828.40289547606 745577.6250468821, -169843.13048253022 745574.3746509907, -169845.90228547904 745586.8829358451, -169844.29929097515 745587.2415710954, -169846.11382228704 745595.4459326703, -169832.98922973045 745598.3487821406, -169828.40289547606 745577.6250468821))",9964
"SRID=3857;POLYGON ((-169805.7159982293 745580.6511699624, -169813.88684522986 745579.0036454004, -169815.14475341738 745585.2464987539, -169806.97390641682 745586.8941243001, -169805.7159982293 745580.6511699624))",9965
"SRID=3857;POLYGON ((-169801.96449854647 745602.1371324777, -169826.39915234773 745597.2952530929, -169827.77949760066 745604.2106254224, -169803.33373135634 745609.0636938779, -169801.96449854647 745602.1371324777))",9966
"SRID=3857;POLYGON ((-169794.71758586008 745702.8531791363, -169817.67168222915 745701.2952595003, -169818.51772934923 745713.8483272393, -169815.14475341738 745714.0836884661, -169811.82743978722 745715.8210273056, -169802.72144592396 745717.4125127872, -169795.74173235986 745717.883235279, -169794.71758586008 745702.8531791363))",9967
"SRID=3857;POLYGON ((-169773.46669617423 745707.000172725, -169772.8656232967 745702.8196137061, -169766.30888323678 745703.7498699576, -169764.57223911898 745691.6450490546, -169766.65396954684 745689.6387844365, -169771.919363991 745688.5180219881, -169771.41840318096 745686.175498529, -169777.19587086551 745684.9426498442, -169783.56339910903 745686.52294596, -169790.5542251098 745685.5254583716, -169792.43553117276 745698.7958952471, -169786.16821511486 745699.6812967333, -169786.9363750472 745705.0724284742, -169773.46669617423 745707.000172725))",9968
"SRID=3857;POLYGON ((-169745.02455612266 745680.997352796, -169762.96924462137 745678.1168758895, -169764.20492792915 745685.8617173231, -169747.29549836696 745688.5740651516, -169746.92818717082 745686.2875848515, -169744.42348323882 745685.9849921075, -169745.02455612266 745680.997352796))",9969
"SRID=3857;POLYGON ((-169718.93124550316 745685.2003878909, -169729.56234667625 745683.8890183289, -169732.89077274312 745710.9566601256, -169708.16669493346 745714.0052683206, -169707.04233625435 745704.848255759, -169716.34865437707 745703.7050152574, -169715.8700185586 745699.7821946053, -169720.65677717794 745699.1880966577, -169718.93124550316 745685.2003878909))",9970
"SRID=3857;POLYGON ((-169679.65778013086 745658.0880049558, -169700.519033629 745657.2137926046, -169701.03110687574 745669.3969251936, -169680.18096581433 745670.2824270017, -169679.65778013086 745658.0880049558))",9971
"SRID=3857;POLYGON ((-169680.73758893867 745639.5945814578, -169696.74530906643 745638.2384591306, -169697.86966774554 745651.5984930807, -169689.00864812487 745652.3494306266, -169687.99561406177 745654.680764171, -169679.96942900633 745654.4677801307, -169677.87668625356 745648.224818096, -169678.22177256361 745644.5822170015, -169680.73758893867 745639.5945814578))",9972
"SRID=3857;POLYGON ((-169685.70244693774 745635.391549854, -169685.4797976867 745633.6319374379, -169675.4944193806 745634.8871618984, -169673.9916370623 745622.9505862787, -169677.3311755722 745620.809861075, -169676.6632278255 745615.4411145387, -169683.53171687276 745614.5780913286, -169683.89902806887 745617.5482741611, -169693.77308175265 745616.3041377622, -169695.99947412565 745634.1026592036, -169685.70244693774 745635.391549854))",9973
"SRID=3857;POLYGON ((-169747.85212149133 745649.2335942702, -169748.1526579301 745647.4178374914, -169742.69795156404 745648.224818096, -169741.7406799271 745641.8250166941, -169746.58300074897 745641.1077454813, -169745.1693181796 745631.5808203024, -169758.40513524672 745629.6194125225, -169761.0211638074 745647.2833743261, -169747.85212149133 745649.2335942702))",9974
"SRID=3857;POLYGON ((-169738.52347837706 745608.8396223583, -169752.86142924355 745607.3489369282, -169755.04337186337 745608.6826815718, -169759.60738111992 745608.2119600244, -169761.53323705416 745626.7389383164, -169740.61632124166 745628.9133299333, -169738.52347837706 745608.8396223583))",9975
"SRID=3857;POLYGON ((-169760.49797811764 745598.9540674526, -169768.21241417946 745597.0374146566, -169771.97502629898 745612.1796287473, -169764.2605902372 745614.0961812763, -169760.49797811764 745598.9540674526))",9976
"SRID=3857;POLYGON ((-169775.42588943124 745616.8085255532, -169774.75804179636 745611.0587670926, -169780.19042317086 745610.4311047334, -169780.56884680368 745613.681502763, -169789.39652910794 745612.6615387892, -169790.2648011141 745620.182198604, -169768.23473917102 745622.7376023617, -169767.6557910551 745617.7164034281, -169775.42588943124 745616.8085255532))",9977
"SRID=3857;POLYGON ((-169763.1140066783 745625.1473546646, -169767.9229901774 745624.7438645307, -169768.6354877954 745633.1724041345, -169763.8264041845 745633.5758943305, -169763.1140066783 745625.1473546646))",9978
"SRID=3857;POLYGON ((-169764.5500142392 745650.343167447, -169770.65034336044 745649.6819392467, -169771.3181909953 745655.8351921191, -169765.21796198594 745656.4964203937, -169764.5500142392 745650.343167447))",9979
"SRID=3857;POLYGON ((-169785.56714223736 745605.7573538397, -169792.0571075399 745604.8831423296, -169792.70273029504 745609.6466023949, -169786.21276498618 745610.520813981, -169785.56714223736 745605.7573538397))",9980
"SRID=3857;POLYGON ((-169746.7277628059 745571.6623088073, -169746.76120023415 745561.8216151971, -169757.29198911611 745561.8439920909, -169757.26976423638 745574.6324893142, -169749.7778773074 745574.6213008615, -169749.7890898623 745572.5478090362, -169746.7277628059 745571.6623088073))",9981
"SRID=3857;POLYGON ((-169729.11704818055 745544.5948366065, -169727.2802919889 745530.8872814958, -169728.61608737052 745528.6008077739, -169731.2877782392 745526.6282152426, -169733.07998455953 745522.6045097187, -169736.33052343235 745522.2346864493, -169739.68127449078 745520.3517024508, -169740.77219574162 745522.3019178847, -169745.50329204663 745521.4500845767, -169747.67402211163 745524.3977846878, -169750.15640105208 745525.0367352945, -169752.11559430909 745539.6295870399, -169743.98929717985 745540.716781113, -169743.51066136136 745537.1526070492, -169738.8908896787 745537.7802685694, -169739.61439962793 745543.1825728249, -169729.11704818055 745544.5948366065))",9982
"SRID=3857;POLYGON ((-169756.53504173862 745535.4826061153, -169755.52200767555 745514.6019541085, -169772.93239804776 745513.7725985907, -169773.1550472988 745518.4463416409, -169778.7766404897 745518.1773151406, -169779.09950192 745524.958214623, -169773.22182204982 745525.238429599, -169773.3999214232 745528.7914144448, -169776.1160620577 745530.4949804995, -169776.31648642264 745534.5299758372, -169756.53504173862 745535.4826061153))",9983
"SRID=3857;POLYGON ((-169702.745426002 745523.7589348849, -169718.78658355802 745521.920805379, -169721.24673761876 745543.2946588484, -169709.30216606194 745544.6620680632, -169707.97748311705 745533.1625668755, -169703.69168530774 745531.9296208359, -169702.745426002 745523.7589348849))",9984
"SRID=3857;POLYGON ((-169691.5689142594 745524.6668112186, -169697.9030050683 745523.7365580068, -169701.28719355504 745546.6234728029, -169694.9418901976 745547.5537264032, -169691.5689142594 745524.6668112186))",9985
"SRID=3857;POLYGON ((-169728.22645118283 745485.4161670256, -169735.37315168357 745484.093613809, -169738.34537899736 745500.2219916632, -169731.1986784966 745501.5333568373, -169728.22645118283 745485.4161670256))",9986
"SRID=3857;POLYGON ((-169748.89849286454 745486.1671022947, -169760.38665348897 745482.233007982, -169762.624158305 745488.7673543288, -169751.1359976806 745492.7013483077, -169748.89849286454 745486.1671022947))",9987
"SRID=3857;POLYGON ((-169687.0716797476 745456.9251866277, -169705.13880531167 745454.2577047581, -169707.75483387237 745472.0000298426, -169689.68760819646 745474.6676133783, -169687.0716797476 745456.9251866277))",9988
"SRID=3857;POLYGON ((-169743.65532330648 745499.1124215317, -169748.39753206086 745498.6977438882, -169748.75373081394 745502.6654046839, -169744.01152205956 745503.0800823572, -169743.65532330648 745499.1124215317))",9989
"SRID=3857;POLYGON ((-169737.32123249758 745456.824389999, -169736.3082985526 745449.3149410246, -169738.1005048666 745449.7856612075, -169737.2878951811 745445.0335042569, -169751.759395556 745443.3746945488, -169755.87820642864 745465.656291952, -169741.81856712117 745468.5928006319, -169739.99292337257 745457.9675245613, -169737.32123249758 745456.824389999))",9990
"SRID=3857;POLYGON ((-169735.2507146182 745421.5301600945, -169746.59421330382 745419.3781535396, -169750.23428824617 745438.4879747045, -169737.5105444258 745440.9089073264, -169736.82037179932 745437.3110736947, -169733.9038067999 745436.8627304616, -169732.62357362083 745430.1379855658, -169736.74238449978 745429.3533850114, -169735.2507146182 745421.5301600945))",9991
"SRID=3857;POLYGON ((-169755.54423255526 745442.2538363459, -169771.09564185614 745439.855280502, -169771.64105242564 745443.4194482395, -169774.21253111502 745445.4369930679, -169776.10494961467 745457.6985991542, -169758.3494729324 745460.4445009739, -169755.54423255526 745442.2538363459))",9992
"SRID=3857;POLYGON ((-169761.37736256048 745435.1815441587, -169760.14177936452 745426.8203671076, -169762.45717136833 745427.3247531551, -169761.63344923977 745423.1664915083, -169758.75022155678 745422.5388313002, -169757.9932741793 745417.3943765181, -169777.01777149213 745414.603521595, -169779.65602493257 745432.4803972864, -169761.37736256048 745435.1815441587))",9993
"SRID=3857;POLYGON ((-169782.3054909215 745435.4617586697, -169790.71009960977 745433.9487011193, -169793.3372406072 745448.4855864944, -169784.9326319189 745450.0098328796, -169782.3054909215 745435.4617586697))",9994
"SRID=3857;POLYGON ((-169783.52996167445 745433.0408262882, -169781.52621855243 745421.911271896, -169790.5876625444 745420.2860281446, -169791.25561029112 745418.4590905354, -169797.1777399208 745417.2486247005, -169797.5228262372 745415.3320790604, -169801.3633255508 745414.637187645, -169804.01279153975 745429.3757618511, -169795.46342080086 745430.9112969182, -169795.14065947602 745429.1180250073, -169792.80294248072 745429.543890541, -169793.1257037992 745431.3147856253, -169783.52996167445 745433.0408262882))",9995
"SRID=3857;POLYGON ((-169811.5156907936 745413.6957478804, -169836.6627421074 745411.3195701184, -169837.8984254152 745424.320914574, -169812.74026166467 745426.6970928995, -169811.5156907936 745413.6957478804))",9996
"SRID=3857;POLYGON ((-169794.9847849824 745434.1168298231, -169811.52680323663 745432.4131659673, -169812.65116192208 745443.2065658165, -169808.5212386064 745443.6324314596, -169808.81066260213 745446.4119986441, -169799.51545692247 745447.3759166137, -169799.23714536344 745444.7308120484, -169796.0200439189 745444.1144408161, -169794.9847849824 745434.1168298231))",9997
"SRID=3857;POLYGON ((-169785.85656623307 745489.9554448723, -169806.04987199084 745487.0525003398, -169808.3097017921 745502.7998675008, -169788.1275084837 745505.7027120645, -169785.85656623307 745489.9554448723))",9998
"SRID=3857;POLYGON ((-169814.81077954403 745486.1334362009, -169814.18738166863 745483.2305926671, -169824.13932254649 745481.0785836902, -169823.96122316679 745484.6315656799, -169829.28227991893 745483.4771413377, -169832.51059391198 745498.406340617, -169810.69196866508 745503.1361253313, -169807.35233004967 745487.747392673, -169814.81077954403 745486.1334362009))",9999
"SRID=3857;POLYGON ((-169796.89942836176 745540.2797262699, -169813.77552060116 745536.8051605715, -169817.31548347606 745554.0207482654, -169800.45050367966 745557.4953150616, -169796.89942836176 745540.2797262699))",10000
"SRID=3857;POLYGON ((-169800.67315292434 745522.8959131186, -169800.08319248352 745520.1500081705, -169794.60626123776 745521.326810156, -169792.78061748916 745512.8310563336, -169807.79762854538 745509.6031419532, -169809.64549717368 745518.2109812541, -169806.06108453937 745518.9842938426, -169806.48405804348 745520.9345092281, -169811.93876441589 745519.7577072446, -169814.5324679787 745531.8512009509, -169798.37998580033 745535.3256655453, -169797.4338266064 745530.9097591735, -169794.87346036005 745530.6743987332, -169793.53756486665 745524.4314507988, -169800.67315292434 745522.8959131186))",10001
"SRID=3857;POLYGON ((-169857.83574459914 745512.7077819322, -169857.16779685245 745509.8161254306, -169854.7856300913 745510.365265987, -169853.6612714122 745505.4449748617, -169856.1214254729 745504.8845451196, -169854.74108022 745498.8210182582, -169858.29215553787 745498.0140398531, -169857.32367135244 745493.7773530139, -169871.8397215986 745490.4710199297, -169875.96964491426 745508.5719914769, -169857.83574459914 745512.7077819322))",10002
"SRID=3857;POLYGON ((-168680.5876534196 743773.913938844, -168689.50433535464 743764.6451676406, -168699.6232631692 743774.3846446573, -168696.47293648202 743777.6684981813, -168698.79944092882 743779.9100458316, -168685.3075371761 743793.9421220517, -168674.6097613638 743783.6534174973, -168682.3464223054 743775.6062623379, -168680.5876534196 743773.913938844))",10332
"SRID=3857;POLYGON ((-174990.03167201966 745094.8609668554, -174990.0650093361 745090.8933355691, -174997.33414690223 745090.9381897678, -174997.3119220225 745094.9058210575, -174990.03167201966 745094.8609668554))",10346
"SRID=3857;POLYGON ((-175015.27893551276 745094.7265050454, -175015.3011603925 745090.6131228191, -175022.83749708094 745090.64678867, -175022.81517208938 745094.7713592473, -175015.27893551276 745094.7265050454))",10347
"SRID=3857;POLYGON ((-174921.44769447148 745103.8722273441, -174921.4365820348 745106.9208017868, -174920.0227993473 745106.9208017868, -174920.01168691058 745110.350385233, -174911.08389253254 745110.3168201719, -174911.128342292 745097.9320182973, -174919.8112625393 745097.9655833509, -174919.78903765956 745103.8722273441, -174921.44769447148 745103.8722273441))",10348
"SRID=3857;POLYGON ((-168476.43881539718 743882.6401344602, -168486.62451796274 743872.1160599616, -168492.09033676554 743877.3949295091, -168496.14237289346 743873.1920328919, -168493.45956958173 743867.6666223358, -168497.19985670972 743864.1921625425, -168500.78436945585 743868.0364344546, -168503.53394751862 743865.4699243088, -168505.08127970822 743867.1285855287, -168501.18511808026 743870.7486924243, -168503.50051009038 743873.2368860956, -168507.4635465812 743869.5607377302, -168509.3114152095 743871.5332707019, -168505.47091589592 743875.1085246826, -168509.17786570743 743879.087256197, -168505.25937908792 743882.729840883, -168500.97358127226 743880.9478076693, -168488.28317477467 743894.0832484349, -168476.43881539718 743882.6401344602))",10388
"SRID=3857;POLYGON ((-168565.02688688037 743631.8562168654, -168568.29965063292 743629.278428909, -168570.09185694694 743631.5648235058, -168566.81909319438 743634.1425107763, -168565.02688688037 743631.8562168654))",10393
"SRID=3857;POLYGON ((-168545.85762751062 743599.9030443745, -168550.75571075862 743597.5382339738, -168553.62772588676 743603.4559045851, -168548.71853020202 743605.8319032917, -168545.85762751062 743599.9030443745))",10394
"SRID=3857;POLYGON ((-168746.4330652299 743660.7944778114, -168750.86362509616 743634.5459862754, -168756.95274166885 743635.5659134925, -168756.56320559297 743637.9083494202, -168757.79878878893 743638.1213256344, -168758.46673653563 743634.1761757343, -168766.0476230954 743635.4538313583, -168765.10136378967 743641.0689245905, -168769.24239954204 743641.7749816111, -168769.56526097236 743639.8696860174, -168772.76013753715 743640.4076198061, -168768.6858765358 743664.5490294255, -168746.4330652299 743660.7944778114))",10416
"SRID=3857;POLYGON ((-168634.62379837348 743654.6077836601, -168633.06535374088 743629.3456580194, -168641.33631281526 743628.8412884942, -168641.21387574988 743626.9248052933, -168644.6536264391 743626.7118291227, -168644.82061337578 743629.4914050896, -168650.5758561806 743629.143970682, -168651.0100422396 743636.2384062761, -168648.81698718938 743636.3728645141, -168649.72980906052 743651.2118553243, -168639.6554311236 743651.8283072156, -168639.80019317422 743654.2940140638, -168634.62379837348 743654.6077836601))",10422
"SRID=3857;POLYGON ((-168464.18249484044 743609.5752630985, -168475.1029199038 743600.0487913666, -168481.6596599637 743607.5690745958, -168475.92674214413 743612.5790023664, -168478.9879690887 743616.0757215563, -168473.80056195677 743620.6036567553, -168464.18249484044 743609.5752630985))",10434
"SRID=3857;POLYGON ((-168472.5314412144 743632.5734618179, -168475.2810192835 743629.9732977217, -168479.63369195565 743634.5347982245, -168476.51670259127 743637.2918976786, -168472.5314412144 743632.5734618179))",10469
"SRID=3857;POLYGON ((-168490.64311664976 743619.3932305684, -168494.04953002254 743616.4119678279, -168498.54686463982 743621.3433784564, -168495.3631005244 743624.3918705689, -168490.64311664976 743619.3932305684))",10471
"SRID=3857;POLYGON ((-168495.07367652233 743616.6361320122, -168499.49302384007 743611.8504688294, -168505.35959126722 743616.7818790488, -168501.00701870688 743621.5675426545, -168495.07367652233 743616.6361320122))",10472
"SRID=3857;POLYGON ((-168479.05484395786 743628.2249376536, -168481.1586991537 743626.050625304, -168485.64492133426 743630.3319201844, -168483.6188532144 743632.5062327035, -168479.05484395786 743628.2249376536))",10473
"SRID=3857;POLYGON ((-168476.60580233386 743629.9844857715, -168478.33123389684 743628.1912726994, -168481.5149980186 743631.2734301477, -168479.7894663438 743633.0554552701, -168476.60580233386 743629.9844857715))",10474
"SRID=3857;POLYGON ((-169259.91649332657 743828.8430164173, -169266.55112058055 743831.678543077, -169263.65688057267 743839.647288989, -169262.17632313416 743839.1092524499, -169261.58626258152 743840.72316049, -169263.75699264018 743841.5189264318, -169259.11499607775 743854.3070227318, -169252.84768001988 743852.020618866, -169252.43581895245 743853.1525318982, -169248.85130620628 743851.8524950091, -169249.31892969986 743850.5523573635, -169238.98846507736 743846.7977930391, -169240.3464853387 743843.0656051642, -169238.52094170192 743842.3931098492, -169239.60065039792 743839.4343119939, -169241.88270508527 743840.2636422013, -169244.3985214603 743833.3484921613, -169242.2612288299 743832.5752033262, -169245.52288014576 743823.6090046985, -169259.91649332657 743828.8430164173))",10499
"SRID=3857;POLYGON ((-169246.41347713713 743811.6503461065, -169250.25397645074 743804.93688765, -169252.64735576042 743806.3042535492, -169254.51754938666 743803.04277449, -169271.52709101632 743812.7823591004, -169265.81639808282 743822.7571977644, -169246.41347713713 743811.6503461065))",10500
"SRID=3857;POLYGON ((-169273.25262269113 743821.3114140151, -169281.50135688574 743802.9867332522, -169300.9488276964 743811.7512405067, -169292.7000935081 743830.0758233997, -169273.25262269113 743821.3114140151))",10502
