WKT,fid
"SRID=3857;POLYGON ((-174398.64683581542 744580.8759397098, -174396.3313436935 744569.2421800635, -174399.37044587015 744568.6370069162, -174394.5947996875 744544.6745140821, -174349.23211763706 744553.70806069, -174347.62912313314 744545.6272279633, -174341.69578094862 744546.8151972902, -174340.60485969775 744541.2897189504, -174392.53539425117 744530.9448323913, -174391.93422125553 744527.9635201687, -174397.40004006462 744526.876446964, -174398.00121306028 744529.8464700999, -174405.6599868078 744528.32224929, -174399.971518754 744509.1679922687, -174400.48359200073 744495.3710892824, -174414.77699300225 744493.252784545, -174416.32432519182 744497.5566242812, -174422.35787956198 744497.4445403942, -174423.58235031491 744502.3311764074, -174418.10551918094 744502.5328669514, -174419.5526391849 744506.5789748994, -174419.71962612157 744525.6211470728, -174436.48429362683 744522.2812068432, -174430.31718974825 744491.3810240945, -174486.1105486132 744480.2628489863, -174488.40371573722 744491.784505891, -174486.14398604777 744492.2440296317, -174487.66899323947 744499.8990969739, -174488.98256374133 744499.6412637027, -174494.78235642376 744528.7481078303, -174489.87316073274 744529.7231979076, -174491.25350598563 744536.6497246721, -174492.50030173644 744542.9036476219, -174491.06429416922 744543.1950458168, -174492.7897257385 744551.8363989791, -174494.21462085636 744551.5561889757, -174496.49667554372 744562.9657768317, -174445.87971149213 744573.0528358098, -174445.5679624985 744571.5286138, -174398.64683581542 744580.8759397098), (-174443.8203060558 744559.7155418651, -174441.03729055842 744545.7056464384, -174438.29882493237 744531.8975460342, -174433.43417911895 744532.8614479336, -174434.00191468003 744535.7418646917, -174403.46693175755 744541.7940968553, -174408.42067731358 744566.7428674073, -174443.8203060558 744559.7155418651), (-174452.98186212158 744550.6819942686, -174454.6071816107 744558.9981840092, -174482.18094955062 744553.5847884442, -174479.2532721145 744538.6671353547, -174476.72634329638 744525.800461225, -174451.0783311789 744530.8327484363, -174453.52737280293 744543.273565083, -174454.90771804948 744550.3120767573, -174452.98186212158 744550.6819942686), (-174472.0063594281 744514.7718858055, -174467.82077379807 744493.3312029452, -174442.74049724167 744498.217838592, -174444.61069086156 744507.867839054, -174446.82587068604 744507.4419806757, -174449.1191379219 744519.2326648915, -174472.0063594281 744514.7718858055))",125
"SRID=3857;POLYGON ((-173512.86653339915 744504.9874237586, -173510.67347834894 744460.0326242859, -173525.9799134072 744459.2929920835, -173526.49198665397 744469.7498481737, -173529.3528893454 744469.6041996748, -173529.75363796978 744477.7971050558, -173526.67008603367 744477.9540426001, -173526.82596052732 744481.148331596, -173524.53279340328 744481.2603146551, -173525.02264177028 744491.2465637634, -173528.88536596994 744491.0560614923, -173529.27500215132 744499.0472795496, -173525.7907015908 744499.215405388, -173526.03557572156 744504.3485858286, -173512.86653339915 744504.9874237586))",126
"SRID=3857;POLYGON ((-173500.74386246264 744246.2206701175, -173513.08918265018 744246.0413568722, -173513.35628166067 744251.331450543, -173508.59184803287 744251.6003700369, -173508.32464891058 744258.8294465736, -173505.77549521273 744258.9191536172, -173505.59739583934 744261.6538072539, -173500.56566297743 744261.6538072539, -173500.74386246264 744246.2206701175))",130
"SRID=3857;POLYGON ((-173540.15087734335 744233.5333777337, -173540.00621539823 744226.2819281722, -173555.2569881485 744226.7078851636, -173554.8228020895 744247.038818292, -173539.71679139617 744246.893069583, -173539.71679139617 744238.6217806244, -173535.5088807746 744238.4760319379, -173535.3642188358 744233.5333777337, -173540.15087734335 744233.5333777337))",131
"SRID=3857;POLYGON ((-173645.4480541293 744387.5962908851, -173634.53874150265 744377.3411405216, -173637.85605513284 744373.82179487, -173628.85027344886 744365.3486959541, -173636.05263626398 744357.6937481692, -173631.02100351386 744352.9528740215, -173636.29761050022 744347.3377080135, -173651.14753451425 744361.3138874088, -173647.48513457403 744365.2030477256, -173656.92510231063 744374.0796275503, -173654.0085373112 744377.1730150564, -173658.77297093897 744381.6561593792, -173654.1866366909 744386.5314960865, -173650.07893825497 744382.6648114659, -173645.4480541293 744387.5962908851))",133
"SRID=3857;POLYGON ((-173712.69613618404 744333.6305528596, -173705.78319737097 744316.9868531439, -173709.10051099482 744315.6082863346, -173707.3527544403 744311.4165443762, -173704.03544081646 744312.795111074, -173700.90743911453 744305.2634423047, -173719.84283668478 744297.395624927, -173723.10448799428 744305.2522541173, -173725.04145637155 744317.7265842234, -173728.11389586463 744316.4489127226, -173731.9321702985 744325.6393588886, -173712.69613618404 744333.6305528596))",134
"SRID=3857;POLYGON ((-173728.09157087308 744404.4977440423, -173779.64368179368 744400.2836188709, -173780.65671585678 744417.7118291259, -173729.98408948453 744422.2061649705, -173728.09157087308 744404.4977440423))",135
"SRID=3857;POLYGON ((-174033.2962376316 745026.9517458034, -174048.75854718353 745022.7600502984, -174055.47106163163 745047.5408112347, -174040.01996462824 745051.7326094289, -174033.2962376316 745026.9517458034))",136
"SRID=3857;POLYGON ((-173953.13509982824 745022.2331905031, -173950.83082026118 745003.6503740144, -173962.94237876098 745002.1485167082, -173962.70861707328 745000.2768396938, -173972.84976976123 744999.0215289722, -173973.08353145528 745000.8932059372, -173985.76282550982 744999.3241179185, -173988.0671050769 745017.9069329415, -173973.6401545733 745019.6890030719, -173972.98331926964 745014.4100236736, -173966.3710170072 745015.2282840892, -173967.02775220538 745020.5184519059, -173953.13509982824 745022.2331905031))",142
"SRID=3857;POLYGON ((-171677.28606040575 744270.4070987271, -171687.83907416114 744266.932714243, -171695.3420735268 744289.6733559038, -171684.7889596596 744293.1478426147, -171677.28606040575 744270.4070987271))",144
"SRID=3857;POLYGON ((-171641.11837184933 744288.4068732463, -171648.28729722984 744286.3222418461, -171653.36347985122 744304.5350003811, -171645.74925597504 744306.6196324729, -171641.11837184933 744288.4068732463))",145
